,papers,Year
29,"Qian Jiaqi, Wang Ge, Yin Ting, Mao Yuxuan, Chen Siyuan, Li Yan, Liu Jiangfeng, Zhang Qi. Policy implications of electrifying land freight transport towards carbon-neutral in China[J/OL]. Transport Policy, 2025, 160: 116-124. DOI:10.1016/j.tranpol.2024.11.004.",2025
12,"Yin Ting, Chen Siyuan, Wang Ge, Tan Yuxuan, Teng Fei, Zhang Qi. Can Subsidy Policies Achieve Fuel Cell Logistics Vehicle (FCLV) Promotion Targets? Evidence from the Beijing-Tianjin-Hebei Fuel Cell Vehicle Demonstration City Cluster in China[J/OL]. Energy, 2024: 133270. DOI:10.1016/j.energy.2024.133270.",2024
9,"Zhang Qi, Liu Jiangfeng, Wang Ge, Gao Zhihui. A new optimization model for carbon capture utilization and storage (CCUS) layout based on high-resolution geological variability[J/OL]. Applied Energy, 2024, 363: 123065. DOI:10.1016/j.apenergy.2024.123065.",2024
30,"Liu Jiangfeng, Zhang Qi, Teng Fei, Wang Lu, Wang Ge. A New Investment Decision-Making Model of Hydrogen Energy Storage Technology Based on Real-Time Operation Optimization and Learning Effects[J/OL]. Journal of Energy Storage, 2024, 96: 112745. DOI:10.2139/ssrn.4761945.",2024
1,"王歌, 张奇, 李彦, 余乐安. 区块链共享模式下的分布式光伏扩散演化模拟[J/OL]. 系统工程学报, 2024, 39(2): 189-199. DOI:10.13383/j.cnki.jse.2024.02.003.",2024
14,"Wang Lu, Zhang Qi, Liu Jiangfeng, Wang Ge. Science mapping the knowledge domain of electrochemical energy storage technology: A bibliometric review[J/OL]. Journal of Energy Storage, 2024, 77: 109819. DOI:10.1016/j.est.2023.109819.",2024
26,"Teng Fei, Zhang Qi, Chen Siyuan, Wang Ge, Huang Zhenyue, Wang Lu. Comprehensive effects of policy mixes on the diffusion of heavy-duty hydrogen fuel cell electric trucks in China considering technology learning[J/OL]. Energy Policy, 2024, 185: 113961. DOI:10.1016/j.enpol.2023.113961.",2024
38,"Gao Zhihui, Zhang Qi, Liu Boyu, Liu Jiangfeng, Wang Ge, Ni Ruiyan, Yang Kexin. The driving factors and mitigation strategy of CO2 emissions from China’s passenger vehicle sector towards carbon neutrality[J/OL]. Energy, 2024, 294: 130830. DOI:10.1016/j.energy.2024.130830.",2024
3,"刘玮, 万燕鸣, 陈思源, 刘畅, 刘琦, 张岩, 王歌. 基于场景模拟的公路货运新能源车成本效益分析研究[J/OL]. 中国环境科学, 2023, 43(10): 5624-5632. DOI:10.19674/j.cnki.issn1000-6923.20230808.003.",2023
32,"Li Yan, Zhang Qi, Wang Ge, Lu Xi. Recycling schemes and supporting policies modeling for photovoltaic modules considering heterogeneous risks[J/OL]. Resources, Conservation and Recycling, 2022, 180: 106165. DOI:10.1016/j.resconrec.2022.106165.",2022
8,"Zhang Qi, Liu Jiangfeng, Yang Kexin, Liu Boyu, Wang Ge. Market adoption simulation of electric vehicle based on social network model considering nudge policies[J/OL]. Energy, 2022, 259: 124984. DOI:10.1016/j.energy.2022.124984.",2022
13,"Yan Jiaze, Wang Ge, Chen Siyuan, Zhang He, Qian Jiaqi, Mao Yuxuan. Harnessing freight platforms to promote the penetration of long-haul heavy-duty hydrogen fuel-cell trucks[J/OL]. Energy, 2022, 254: 124225. DOI:10.1016/j.energy.2022.124225.",2022
35,"Li Yan, Wang Ge, Shen Bo, Zhang Qi, Liu Boyu, Xu Ruoxi. Conception and policy implications of photovoltaic modules end-of-life management in China[J/OL]. WIREs Energy and Environment, 2021, 10(1): e387. DOI:https://doi.org/10.1002/wene.387.",2021
2,"刘雪飞, 张奇, 李彦, 余乐安, 王歌. 普惠金融支持光伏发电发展的空间效应研究[J/OL]. 中国管理科学, 2021, 29(8): 24-34. DOI:10.16381/j.cnki.issn1003-207x.2019.2128.",2021
16,"Wang Ge, Zhang Qi, Su Bin, Shen Bo, Li Yan, Li Zhengjun. Coordination of tradable carbon emission permits market and renewable electricity certificates market in China[J/OL]. Energy Economics, 2021, 93: 105038. DOI:10.1016/j.eneco.2020.105038.",2021
25,"Teng Fei, Zhang Qi, Wang Ge, Liu Jiangfeng, Li Hailong. A comprehensive review of energy blockchain: Application scenarios and development trends[J/OL]. International Journal of Energy Research, 2021: er.7109. DOI:10.1002/er.7109.",2021
34,"Li Yan, Zhang Qi, Wang Ge, Liu Xuefei, McLellan Benjamin. Modeling and Policy Study for Information Asymmetry Problem of Photovoltaic Module Quality in China[J/OL]. Emerging Markets Finance and Trade, 2021, 57(3): 653-667. DOI:10.1080/1540496X.2019.1604337.",2021
37,"Li Yan, Li Hailong, Wang Ge, Liu Xuefei, Zhang Qi. Study on the optimal deployment for photovoltaic components recycle in china[J/OL]. Energy Procedia, 2019, 158: 4298-4303. DOI:10.1016/j.egypro.2019.01.794.",2019
18,"Wang Ge, Zhang Qi, Li Yan, Mclellan Benjamin C., Pan Xunzhang. Corrective regulations on renewable energy certificates trading: pursuing an equity-efficiency trade-off[J/OL]. Energy Economics, 2019, 80: 970-982. DOI:10.1016/j.eneco.2019.03.008.",2019
19,"Wang Ge, Zhang Qi, Li Yan, Mclellan Benjamin C. Efficient and equitable allocation of renewable portfolio standards targets among china’s provinces[J/OL]. Energy Policy, 2019, 125: 170-180. DOI:10.1016/j.enpol.2018.10.044.",2019
33,"Li Yan, Zhang Qi, Wang Ge, Liu Xuefei, Mclellan Benjamin. Promotion policies for third party financing in photovoltaic poverty alleviation projects considering social reputation[J/OL]. Journal of Cleaner Production, 2019, 211: 350-359. DOI:10.1016/j.jclepro.2018.11.179.",2019
0,"张奇, 李彦, 王歌, 朱丽晶, 胡滢, 王乐. 基于复杂网络的电动汽车充电桩众筹市场信用风险建模与分析[J]. 中国管理科学, 2019, 27(08): 66-74.",2019
31,"Li Yan, Zhang Qi, Wang Ge, McLellan Benjamin, Liu Xue Fei, Wang Le. A review of photovoltaic poverty alleviation projects in china: current status, challenge and policy recommendations[J/OL]. Renewable and Sustainable Energy Reviews, 2018, 94: 214-223. DOI:10.1016/j.rser.2018.06.012.",2018
36,"Li Yan, Wang Ge, Mclellan Benjamin, Chen Si-Yuan, Zhang Qi. Study of the impacts of upstream natural gas market reform in china on infrastructure deployment and social welfare using an SVM-based rolling horizon stochastic game analysis[J/OL]. Petroleum Science, 2018, 15(4): 898-911. DOI:10.1007/s12182-018-0238-x.",2018
27,"Tang Yanyan, Zhang Qi, Li Yaoming, Wang Ge, Li Yan. Recycling mechanisms and policy suggestions for spent electric vehicles’ power battery -a case of beijing[J/OL]. Journal of Cleaner Production, 2018, 186: 388-406. DOI:10.1016/j.jclepro.2018.03.043.",2018
20,"Wang Ge, Zhang Qi, Li Yan, Li Hailong. Policy simulation for promoting residential PV considering anecdotal information exchanges based on social network modelling[J/OL]. Applied Energy, 2018, 223: 1-10. DOI:10.1016/j.apenergy.2018.04.028.",2018
6,"Zhang Qi, Wang Ge, Li Yan, Li Hailong, McLellan Benjamin, Chen Siyuan. Substitution effect of renewable portfolio standards and renewable energy certificate trading for feed-in tariff[J/OL]. Applied Energy, 2018, 227: 426-435. DOI:10.1016/j.apenergy.2017.07.118.",2018
39,"Chen Siyuan, Zhang Qi, Wang Ge, Zhu Lijing, Li Yan. Investment strategy for underground gas storage facilities based on real option model considering gas market reform in china[J/OL]. Energy Economics, 2018, 70: 132-142. DOI:10.1016/j.eneco.2017.12.034.",2018
24,"Tian Ruijie, Zhang Qi, Wang Ge, Li Hailong, Chen Siyuan, Li Yan, Tian Yulu. Study on the promotion of natural gas-fired electricity with energy market reform in china using a dynamic game-theoretic model[J/OL]. Applied Energy, 2017, 185, Part 2: 1832-1839. DOI:10.1016/j.apenergy.2015.11.079.",2017
22,"Wang Ge, Zhang Qi, Li Hailong, Li Yan, Chen Siyuan. The impact of social network on the adoption of real-time electricity pricing mechanism[J/OL]. Energy Procedia, 2017, 142: 3154-3159. DOI:10.1016/j.egypro.2017.12.383.",2017
21,"Wang Ge, Zhang Qi, Li Hailong, McLellan Benjamin C., Chen Siyuan, Li Yan, Tian Yulu. Study on the promotion impact of demand response on distributed PV penetration by using non-cooperative game theoretical analysis[J/OL]. Applied Energy, 2017, 185: 1869-1878. DOI:10.1016/j.apenergy.2016.01.016.",2017
11,"Zhang Qi, Li Yan, Li Hailong, Wang Ge, Chen Siyuan. Study on the impacts of the LNG market reform in china using a SVM based rolling horizon stochastic game analysis[J/OL]. Energy Procedia, 2017, 105: 3850-3855. DOI:10.1016/j.egypro.2017.03.786.",2017
7,"Zhang Qi, Wang Ge, Li Hailong, Li Yan, Chen Siyuan. Study on the implementation pathways and key impacts of RPS target in china using a dynamic game-theoretical equilibrium power market model[J/OL]. Energy Procedia, 2017, 105: 3844-3849. DOI:10.1016/j.egypro.2017.03.784.",2017
17,"Wang Ge, Zhang Qi, Mclellan Benjamin C., Li Hailong. Multi-region optimal deployment of renewable energy considering different interregional transmission scenarios[J/OL]. Energy, 2016, 108: 108-118. DOI:10.1016/j.energy.2015.08.060.",2016
10,"Zhang Qi, Li Zhan, Wang Ge, Li Hailong. Study on the impacts of natural gas supply cost on gas flow and infrastructure deployment in china[J/OL]. Applied Energy, 2016, 162: 1385-1398. DOI:10.1016/j.apenergy.2015.06.058.",2016
5,"Zhu Lijing, Lu Huihui, Zhang Qi, Li Hailong, Pan Xunzhang, Wang Ge, Li Yan. Application of crowdfunding on the financing of EV’s charging piles[J/OL]. Energy Procedia, 2016, 104: 336-341. DOI:10.1016/j.egypro.2016.12.057.",2016
4,"陈思源, 张奇, 王歌, 李彦. 基于博弈分析的我国天然气储气库开发策略及运营模式研究[J]. 石油科学通报, 2016(01): 175-182.",2016
23,"Tian Ruijie, Zhang Qi, Wang Ge. Market analysis of natural gas for power generation in china[J/OL]. Energy Procedia, 2015, 75: 2718-2723. DOI:10.1016/j.egypro.2015.07.699.",2015
28,"Su Difei, Zhang Qi, Wang Ge, Li Hailong. Market analysis of natural gas for district heating in china[J/OL]. Energy Procedia, 2015, 75: 2713-2717. DOI:10.1016/j.egypro.2015.07.693.",2015
15,"Wang Ge, Zhang Qi, Tian Ruijie, Li Hailong. Combined impacts of RTP and FIT on optimal management for a residential micro-grid[J/OL]. Energy Procedia, 2015, 75: 1666-1672. DOI:10.1016/j.egypro.2015.07.410.",2015
